Company_ID,Company_Name,Company_Profit,Address
46.0,Dynamic Ventures 46,93219.0,"SLEX, Barangay 789, Pasig, Philippines!"
47.0,Green  Industries  47,31130.0,"Taft Ave, Barangay 707, Mandaluyong, Philippines"
48.0,Global  Corp  48,,"Katipunan ave, barangay 101, cebu city, philippines"
49.0,Tech Holdings 49,115517.0,"Edsa, barangay 303, quezon city, philippines"
50.0,Sky Associates 50,32118.0,"Alabang-Zapote Rd, Brgy. 303, Baguio, Philippines"
51.0,Global  Holdings  51,30663.0,"Taft Ave, Barangay 456, Cebu City, Philippines"
,Innovative  Industries  52,92408.0,"Roxas Blvd, Brgy. 303, Quezon City, Philippines"
53.0,Global Partners 53,,"Taft Ave, Barangay 123, Manila, Philippines!"
54.0,Innovative Network 54,111271.0,"Ortigas Ave, Barangay 202, Quezon City, Philippines"
55.0,Innovative Holdings 55,49158.0,"Slex, barangay 404, taguig, philippines"
56.0,Pioneer  Ent.s  56,61087.0,"EDSA, Barangay 404, Taguig, Philippines"
57.0,Pioneer Corp 57,118114.0,"Katipunan ave, barangay 456, parañaque, philippines"
58.0,Tech Ventures 58,83121.0,"Roxas Blvd, Brgy. 505, Pasig, Philippines"
59.0,Elite  Associates  59,49874.0,"EDSA, Barangay 404, Davao City, Philippines"
60.0,Global Ventures 60,113443.0,"Katipunan ave, barangay 101, parañaque, philippines"
61.0,Global Solutions 61,70821.0,"Shaw Blvd, Barangay 505, Pasig, Philippines"
62.0,Quantum Solutions 62,90582.0,"Shaw Blvd, Barangay 707, Baguio, Philippines!"
63.0,Tech Corp 63,52787.0,"Alabang-zapote rd, barangay 606, pasig, philippines"
64.0,Sky Consulting 64,94703.0,"Ortigas Ave, Barangay 202, Mandaluyong, Philippines"
65.0,Tech Associates 65,51705.0,"Ortigas ave, barangay 404, parañaque, philippines"
66.0,Sky Ent.s 66,99381.0,"SLEX, Barangay 202, Parañaque, Philippines"
67.0,Quantum Associates 67,74653.0,"Shaw Blvd, Barangay 202, Manila, Philippines"
68.0,Innovative  Solutions  68,112018.0,"Katipunan ave, barangay 101, taguig, philippines"
69.0,Global Solutions 69,116217.0,"Ayala Avenue, Barangay 505, Quezon City, Philippines"
70.0,Prime Network 70,62252.0,"Alabang-Zapote Rd, Barangay 456, Baguio, Philippines"
71.0,Prime Associates 71,103332.0,"EDSA, Brgy. 303, Parañaque, Philippines"
72.0,Global Corp 72,102799.0,"EDSA, Barangay 303, Cebu City, Philippines"
73.0,Dynamic  Ventures  73,92185.0,"Alabang-Zapote Rd, Barangay 707, Cebu City, Philippines"
,Quantum Solutions 74,,"Commonwealth ave, barangay 404, davao city, philippines"
75.0,Green Industries 75,71538.0,"Commonwealth ave, barangay 123, parañaque, philippines"
76.0,Tech Ventures 76,,"Commonwealth Ave, Barangay 202, Cebu City, Philippines"
77.0,Prime Consulting 77,110398.0,"Alabang-Zapote Rd, Barangay 456, Manila, Philippines"
78.0,Innovative Partners 78,71232.0,"Roxas Blvd, Barangay 123, Pasig, Philippines"
79.0,Sky Ventures 79,83106.0,"Alabang-Zapote Rd, Barangay 505, Parañaque, Philippines"
80.0,Green  Partners  80,111227.0,"Commonwealth Ave, Barangay 202, Manila, Philippines"
81.0,Elite Enterprises 81,83079.0,"Katipunan Ave, Barangay 303, Taguig, Philippines"
82.0,Prime Industries 82,55028.0,"Commonwealth Ave, Barangay 707, Pasig, Philippines"
83.0,Tech  Enterprises  83,72135.0,"Ayala Avenue, Brgy. 707, Baguio, Philippines"
84.0,Green  Solutions  84,,"SLEX, Barangay 456, Taguig, Philippines"
85.0,Green Ventures 85,113470.0,"EDSA, Barangay 707, Cebu City, Philippines"
86.0,Pioneer Solutions 86,50910.0,"Alabang-Zapote Rd, Barangay 789, Baguio, Philippines"
87.0,Tech  Ventures  87,37141.0,"Alabang-Zapote Rd, Barangay 505, Quezon City, Philippines"
88.0,Elite Consulting 88,75950.0,"EDSA, Barangay 456, Taguig, Philippines"
89.0,Global Solutions 89,,"Ayala avenue, barangay 101, taguig, philippines"
90.0,Prime Holdings 90,46225.0,"EDSA, Barangay 202, Parañaque, Philippines"
91.0,Tech Industries 91,117123.0,"Katipunan Ave, Barangay 123, Mandaluyong, Philippines"
92.0,Innovative  Corp  92,62959.0,"Taft ave, barangay 202, baguio, philippines"
93.0,Innovative Holdings 93,79192.0,"EDSA, Barangay 789, Davao City, Philippines"
94.0,Pioneer Associates 94,109711.0,"Commonwealth Ave, Brgy. 202, Cebu City, Philippines!"
95.0,Green Network 95,40051.0,"Alabang-Zapote Rd, Barangay 789, Pasig, Philippines"
96.0,Dynamic  Network  96,101428.0,"Alabang-Zapote Rd, Brgy. 456, Cebu City, Philippines"
97.0,Quantum Holdings 97,33449.0,"EDSA, Barangay 789, Manila, Philippines"
98.0,Pioneer Ventures 98,71095.0,"Roxas Blvd, Barangay 123, Taguig, Philippines"
,Elite Corp 99,107929.0,"Alabang-Zapote Rd, Barangay 303, Makati, Philippines"
100.0,Global Solutions 100,,"Ayala avenue, barangay 456, taguig, philippines"
